"163056 - RawData - C:\Users\User\Documents\Marte\Analysis\23-022\23-022A Trial 2.spc"
"Wavelength nm.","Abs."
887.50, 
888.00,0.001
888.50, 
889.00,0.001
889.50, 
890.00,0.001
890.50, 
891.00,0.001
891.50, 
892.00,0.001
892.50, 
893.00,0.001
893.50, 
894.00,0.000
894.50, 
895.00,0.000
895.50, 
896.00,0.000
896.50, 
897.00,0.001
897.50, 
898.00,0.001
898.50, 
899.00,0.001
899.50, 
900.00,0.000
