"164312 - RawData - C:\Users\User\Documents\Marte\Analysis\23-022\23-022C Trial 1u.spc"
"Wavelength nm.","Abs."
879.00,0.003
879.50, 
880.00,0.003
880.50, 
881.00,0.003
881.50, 
882.00,0.003
882.50, 
883.00,0.003
883.50, 
884.00,0.003
884.50, 
885.00,0.003
885.50, 
886.00,0.003
886.50, 
887.00,0.003
887.50, 
888.00,0.003
888.50, 
889.00,0.003
889.50, 
890.00,0.003
890.50, 
891.00,0.003
891.50, 
892.00,0.003
892.50, 
893.00,0.003
893.50, 
894.00,0.003
894.50, 
895.00,0.003
895.50, 
896.00,0.003
896.50, 
897.00,0.003
897.50, 
898.00,0.003
898.50, 
899.00,0.003
899.50, 
900.00,0.003
