"163527 - RawData - C:\Users\User\Documents\Marte\Analysis\23-022\23-022B Trial 2.spc"
"Wavelength nm.","Abs."
592.00,0.060
592.50, 
593.00,0.060
593.50, 
594.00,0.060
594.50, 
595.00,0.060
595.50, 
596.00,0.059
596.50, 
597.00,0.059
597.50, 
598.00,0.059
598.50, 
599.00,0.059
599.50, 
600.00,0.059
600.50, 
601.00,0.059
601.50, 
602.00,0.058
602.50, 
603.00,0.058
603.50, 
604.00,0.058
604.50, 
605.00,0.058
605.50, 
606.00,0.058
606.50, 
607.00,0.058
607.50, 
608.00,0.057
608.50, 
609.00,0.057
609.50, 
610.00,0.057
610.50, 
611.00,0.057
611.50, 
612.00,0.057
612.50, 
613.00,0.057
613.50, 
614.00,0.057
614.50, 
615.00,0.057
615.50, 
616.00,0.057
616.50, 
617.00,0.057
617.50, 
618.00,0.057
618.50, 
619.00,0.057
619.50, 
620.00,0.057
620.50, 
621.00,0.057
621.50, 
622.00,0.057
622.50, 
623.00,0.057
623.50, 
624.00,0.057
624.50, 
625.00,0.057
625.50, 
626.00,0.056
626.50, 
627.00,0.056
627.50, 
628.00,0.056
628.50, 
629.00,0.056
629.50, 
630.00,0.055
630.50, 
631.00,0.055
631.50, 
632.00,0.055
632.50, 
633.00,0.054
633.50, 
634.00,0.054
634.50, 
635.00,0.053
635.50, 
636.00,0.053
636.50, 
637.00,0.052
637.50, 
638.00,0.052
638.50, 
639.00,0.051
639.50, 
640.00,0.050
640.50, 
641.00,0.050
641.50, 
642.00,0.049
642.50, 
643.00,0.049
643.50, 
644.00,0.048
644.50, 
645.00,0.048
645.50, 
646.00,0.047
646.50, 
647.00,0.047
647.50, 
648.00,0.046
648.50, 
649.00,0.046
649.50, 
650.00,0.045
650.50, 
651.00,0.045
651.50, 
652.00,0.045
652.50, 
653.00,0.044
653.50, 
654.00,0.044
654.50, 
655.00,0.044
655.50, 
656.00,0.044
656.50, 
657.00,0.043
657.50, 
658.00,0.043
658.50, 
659.00,0.043
659.50, 
660.00,0.043
660.50, 
661.00,0.042
661.50, 
662.00,0.042
662.50, 
663.00,0.042
663.50, 
664.00,0.042
664.50, 
665.00,0.042
665.50, 
666.00,0.042
666.50, 
667.00,0.042
667.50, 
668.00,0.041
668.50, 
669.00,0.041
669.50, 
670.00,0.041
670.50, 
671.00,0.041
671.50, 
672.00,0.041
672.50, 
673.00,0.041
673.50, 
674.00,0.040
674.50, 
675.00,0.040
675.50, 
676.00,0.040
676.50, 
677.00,0.040
677.50, 
678.00,0.040
678.50, 
679.00,0.039
679.50, 
680.00,0.039
680.50, 
681.00,0.039
681.50, 
682.00,0.038
682.50, 
683.00,0.038
683.50, 
684.00,0.038
684.50, 
685.00,0.037
685.50, 
686.00,0.037
686.50, 
687.00,0.037
687.50, 
688.00,0.037
688.50, 
689.00,0.036
689.50, 
690.00,0.036
690.50, 
691.00,0.036
691.50, 
692.00,0.035
692.50, 
693.00,0.035
693.50, 
694.00,0.035
694.50, 
695.00,0.035
695.50, 
696.00,0.034
696.50, 
697.00,0.034
697.50, 
698.00,0.034
698.50, 
699.00,0.034
699.50, 
700.00,0.034
700.50, 
701.00,0.034
701.50, 
702.00,0.033
702.50, 
703.00,0.033
703.50, 
704.00,0.033
704.50, 
705.00,0.033
705.50, 
706.00,0.033
706.50, 
707.00,0.033
707.50, 
708.00,0.032
708.50, 
709.00,0.032
709.50, 
710.00,0.032
710.50, 
711.00,0.032
711.50, 
712.00,0.032
712.50, 
713.00,0.032
713.50, 
714.00,0.032
714.50, 
715.00,0.031
715.50, 
716.00,0.031
716.50, 
717.00,0.031
717.50, 
718.00,0.031
718.50, 
719.00,0.031
719.50, 
720.00,0.031
720.50, 
721.00,0.031
721.50, 
722.00,0.031
722.50, 
723.00,0.031
723.50, 
724.00,0.030
724.50, 
725.00,0.030
725.50, 
726.00,0.030
726.50, 
727.00,0.030
727.50, 
728.00,0.030
728.50, 
729.00,0.030
729.50, 
730.00,0.030
730.50, 
731.00,0.030
731.50, 
732.00,0.029
732.50, 
733.00,0.029
733.50, 
734.00,0.029
734.50, 
735.00,0.029
735.50, 
736.00,0.029
736.50, 
737.00,0.029
737.50, 
738.00,0.029
738.50, 
739.00,0.029
739.50, 
740.00,0.029
740.50, 
741.00,0.029
741.50, 
742.00,0.029
742.50, 
743.00,0.029
743.50, 
744.00,0.028
744.50, 
745.00,0.028
745.50, 
746.00,0.028
746.50, 
747.00,0.028
747.50, 
748.00,0.028
748.50, 
749.00,0.028
749.50, 
750.00,0.028
750.50, 
751.00,0.028
751.50, 
752.00,0.028
752.50, 
753.00,0.028
753.50, 
754.00,0.028
754.50, 
755.00,0.028
755.50, 
756.00,0.027
756.50, 
757.00,0.027
757.50, 
758.00,0.027
758.50, 
759.00,0.027
759.50, 
760.00,0.027
760.50, 
761.00,0.027
761.50, 
762.00,0.027
762.50, 
763.00,0.027
763.50, 
764.00,0.027
764.50, 
765.00,0.027
765.50, 
766.00,0.027
766.50, 
767.00,0.027
767.50, 
768.00,0.027
768.50, 
769.00,0.026
769.50, 
770.00,0.026
770.50, 
771.00,0.026
771.50, 
772.00,0.026
772.50, 
773.00,0.026
773.50, 
774.00,0.026
774.50, 
775.00,0.026
775.50, 
776.00,0.026
776.50, 
777.00,0.026
777.50, 
778.00,0.026
778.50, 
779.00,0.026
779.50, 
780.00,0.026
780.50, 
781.00,0.026
781.50, 
782.00,0.026
782.50, 
783.00,0.026
783.50, 
784.00,0.026
784.50, 
785.00,0.026
785.50, 
786.00,0.026
786.50, 
787.00,0.025
787.50, 
788.00,0.025
788.50, 
789.00,0.025
789.50, 
790.00,0.025
790.50, 
791.00,0.025
791.50, 
792.00,0.025
792.50, 
793.00,0.025
793.50, 
794.00,0.025
794.50, 
795.00,0.025
795.50, 
796.00,0.025
796.50, 
797.00,0.025
797.50, 
798.00,0.025
798.50, 
799.00,0.025
799.50, 
800.00,0.025
800.50, 
801.00,0.025
801.50, 
802.00,0.025
802.50, 
803.00,0.024
803.50, 
804.00,0.024
804.50, 
805.00,0.024
805.50, 
806.00,0.024
806.50, 
807.00,0.024
807.50, 
808.00,0.024
808.50, 
809.00,0.024
809.50, 
810.00,0.024
810.50, 
811.00,0.024
811.50, 
812.00,0.024
812.50, 
813.00,0.024
813.50, 
814.00,0.024
814.50, 
815.00,0.024
815.50, 
816.00,0.024
816.50, 
817.00,0.024
817.50, 
818.00,0.023
818.50, 
819.00,0.023
819.50, 
820.00,0.023
820.50, 
821.00,0.023
821.50, 
822.00,0.023
822.50, 
823.00,0.023
823.50, 
824.00,0.023
824.50, 
825.00,0.023
825.50, 
826.00,0.023
826.50, 
827.00,0.023
827.50, 
828.00,0.023
828.50, 
829.00,0.023
829.50, 
830.00,0.023
830.50, 
831.00,0.022
831.50, 
832.00,0.022
832.50, 
833.00,0.022
833.50, 
834.00,0.022
834.50, 
835.00,0.022
835.50, 
836.00,0.022
836.50, 
837.00,0.022
837.50, 
838.00,0.022
838.50, 
839.00,0.022
839.50, 
840.00,0.022
840.50, 
841.00,0.022
841.50, 
842.00,0.022
842.50, 
843.00,0.022
843.50, 
844.00,0.022
844.50, 
845.00,0.022
845.50, 
846.00,0.022
846.50, 
847.00,0.022
847.50, 
848.00,0.022
848.50, 
849.00,0.022
849.50, 
850.00,0.022
850.50, 
851.00,0.022
851.50, 
852.00,0.022
852.50, 
853.00,0.022
853.50, 
854.00,0.022
854.50, 
855.00,0.022
855.50, 
856.00,0.022
856.50, 
857.00,0.022
857.50, 
858.00,0.022
858.50, 
859.00,0.022
859.50, 
860.00,0.021
860.50, 
861.00,0.021
861.50, 
862.00,0.021
862.50, 
863.00,0.021
863.50, 
864.00,0.021
864.50, 
865.00,0.021
865.50, 
866.00,0.021
866.50, 
867.00,0.021
867.50, 
868.00,0.021
868.50, 
869.00,0.021
869.50, 
870.00,0.021
870.50, 
871.00,0.021
871.50, 
872.00,0.021
872.50, 
873.00,0.021
873.50, 
874.00,0.021
874.50, 
875.00,0.021
875.50, 
876.00,0.021
876.50, 
877.00,0.020
877.50, 
878.00,0.020
878.50, 
879.00,0.020
879.50, 
880.00,0.020
880.50, 
881.00,0.020
881.50, 
882.00,0.020
882.50, 
883.00,0.020
883.50, 
884.00,0.020
884.50, 
885.00,0.020
885.50, 
886.00,0.020
886.50, 
887.00,0.020
887.50, 
888.00,0.020
888.50, 
889.00,0.020
889.50, 
890.00,0.020
890.50, 
891.00,0.020
891.50, 
892.00,0.020
892.50, 
893.00,0.020
893.50, 
894.00,0.019
894.50, 
895.00,0.019
895.50, 
896.00,0.019
896.50, 
897.00,0.019
897.50, 
898.00,0.019
898.50, 
899.00,0.019
899.50, 
900.00,0.019
